O_TIMESTAMP	OPEN	HIGH	LOW	CLOSE	VOLUME	C_TIMESTAMP	QUOTE_ASSET_VOLUME	N_OF_TRADES	TAKER_B_ASSET_V	TAKER_Q_ASSET_VOLUME	IGNORE
1505376000000	3846.58000000	3889.98000000	3395.00000000	3518.00000000	896.99505300	1505404799999	3222627.71167877	4581	432.11595400	1553500.96110209	9980.39667065
1505404800000	3522.00000000	3533.97000000	3165.13000000	3189.02000000	544.16334100	1505433599999	1827641.05995755	3215	232.55865800	784676.04767403	10046.01068952
1505433600000	3188.01000000	3460.00000000	3031.00000000	3148.00000000	556.63777400	1505462399999	1813063.83887764	3165	221.91354300	729109.60436396	9829.57402817
1505462400000	3148.00000000	3856.00000000	2817.00000000	3830.00000000	1047.51326500	1505491199999	3441991.98768563	4810	595.76944800	1962762.81103495	9070.99617566
1505491200000	3839.94000000	3839.98000000	3483.00000000	3700.00000000	364.71545300	1505519999999	1333711.36013119	2470	148.43925400	544453.25298415	9252.64943218
1505520000000	3674.01000000	3950.00000000	3658.04000000	3847.90000000	428.51081900	1505548799999	1635302.24144590	3186	215.64436000	823542.15870196	8921.57449926
1505548800000	3847.92000000	3850.00000000	3470.66000000	3567.11000000	618.72849400	1505577599999	2259005.40983370	3730	259.49629600	946767.18710904	8908.98835518
1505577600000	3567.03000000	3715.00000000	3531.05000000	3714.95000000	250.32464000	1505606399999	910570.59593323	1893	149.74718600	544226.68690808	8845.90190543
1505606400000	3685.23000000	3709.94000000	3550.00000000	3559.00000000	211.85099700	1505635199999	762178.78592219	1776	53.80837100	194254.18273352	8799.21096497
1505635200000	3559.00000000	3660.00000000	3499.02000000	3637.33000000	296.69956200	1505663999999	1060274.74572801	2652	138.35133700	496732.09931772	8382.08690719
1505664000000	3649.49000000	3748.21000000	3638.05000000	3699.99000000	173.62065100	1505692799999	644036.74694446	1927	81.77226800	303857.34840825	8391.64647834
1505692800000	3690.00000000	4000.00000000	3690.00000000	3950.32000000	357.44839100	1505721599999	1376876.12078601	2919	162.83777300	631134.82758188	8316.52674547
1505721600000	3976.58000000	4123.20000000	3848.33000000	4030.33000000	442.25520600	1505750399999	1770212.30532490	3395	184.68495200	740148.08760170	8110.65904202
1505750400000	4048.99000000	4085.00000000	3928.33000000	4035.01000000	230.30285800	1505779199999	921944.63104772	1906	70.11599700	280580.45607518	8105.35030419
1505779200000	4060.00000000	4089.97000000	3830.91000000	3936.28000000	345.42548100	1505807999999	1363504.75124989	2635	107.19664300	423712.93301853	7552.28751268
1505808000000	3880.06000000	4032.02000000	3873.00000000	3965.01000000	296.64238700	1505836799999	1176889.63974734	2246	91.78706900	364992.21304829	7622.48594192
1505836800000	3970.00000000	4014.56000000	3830.91000000	3910.04000000	260.26426100	1505865599999	1017920.80644149	2461	58.33664000	228098.73570850	7553.27397114
1505865600000	3910.04000000	3988.83000000	3820.00000000	3913.89000000	258.19606700	1505894399999	1004286.25589523	2685	106.38102800	416387.39809596	7466.40065452
1505894400000	3913.91000000	4046.08000000	3859.31000000	4005.00000000	236.16225600	1505923199999	936005.37588047	2428	142.57596500	563657.39018290	7366.38070410
1505923200000	3997.50000000	4039.99000000	3860.09000000	3900.00000000	226.57675300	1505951999999	899292.82131234	2118	146.31814500	582165.36156030	7439.36194465
1505952000000	3889.99000000	3910.00000000	3800.00000000	3885.23000000	277.17323000	1505980799999	1069010.77310220	2482	155.79990500	601155.01740385	7431.15634397
1505980800000	3885.23000000	3904.81000000	3668.60000000	3727.44000000	344.07867500	1506009599999	1302946.84528108	2963	167.59170600	639208.82763857	7376.62208753
1506009600000	3730.00000000	3747.48000000	3567.00000000	3609.99000000	380.40217900	1506038399999	1385085.45982936	3269	193.86731500	705874.79369505	7506.06276719
1506038400000	3592.84000000	3750.00000000	3592.84000000	3658.46000000	271.38789100	1506067199999	999187.84493762	2676	174.03575900	640043.88463927	7570.63029314
1506067200000	3658.46000000	3669.00000000	3505.55000000	3514.07000000	331.83487100	1506095999999	1188446.45608995	2998	175.15010700	628420.19466180	7546.73269725
1506096000000	3527.97000000	3645.18000000	3514.08000000	3595.87000000	235.74366300	1506124799999	844137.13190092	2478	161.87400300	579640.53324067	7653.40066377
1506124800000	3595.88000000	3717.44000000	3542.91000000	3689.38000000	224.99547900	1506153599999	819066.76191532	2256	124.27749800	453207.65446861	7696.93318709
1506153600000	3689.38000000	3817.19000000	3688.00000000	3746.36000000	273.46901100	1506182399999	1026868.41850689	2693	167.01379200	627359.71261452	7737.96912440
1506182400000	3746.37000000	3790.00000000	3700.00000000	3780.00000000	254.32830100	1506211199999	953771.81909290	3453	140.65542000	528111.77619159	7779.08973354
1506211200000	3779.54000000	3789.99000000	3622.76000000	3669.00000000	296.86091600	1506239999999	1103569.09138050	3534	125.00298000	465814.93117887	7779.56307240
1506240000000	3668.00000000	3730.00000000	3627.19000000	3691.31000000	230.46844600	1506268799999	848793.90789275	3318	108.88480500	401988.22186877	7862.32251607
1506268800000	3707.89000000	3707.94000000	3624.38000000	3660.02000000	134.30702800	1506297599999	493425.43692716	1872	57.05138500	210161.17333324	7915.33467487
1506297600000	3660.02000000	3815.74000000	3653.69000000	3780.60000000	285.72443600	1506326399999	1071636.15193624	3252	112.07118000	420799.31018139	7813.67308859
1506326400000	3789.50000000	3945.00000000	3747.94000000	3910.01000000	254.14251300	1506355199999	973410.48130086	3706	115.31451100	442108.73309476	7950.42872692
1506355200000	3915.01000000	3979.87000000	3887.80000000	3920.75000000	188.12776400	1506383999999	739124.21994612	2782	71.45346800	281181.13637266	8173.23574241
1506384000000	3928.00000000	3959.56000000	3850.05000000	3925.00000000	250.30018600	1506412799999	978503.29810333	3441	114.95870700	449794.49823764	8397.27040397
1506412800000	3925.00000000	3976.99000000	3888.28000000	3920.00000000	128.84917700	1506441599999	506105.16478479	2228	50.04691200	196933.78017122	8496.39121480
1506441600000	3925.00000000	3939.99000000	3880.00000000	3882.35000000	147.57862400	1506470399999	576587.11579197	2302	60.56466400	237196.74015444	8870.39452351
1506470400000	3882.36000000	3973.00000000	3872.81000000	3968.00000000	114.16673000	1506499199999	448973.09087074	1840	46.24589100	182365.31193385	9324.69386565
1506499200000	3952.10000000	4119.00000000	3931.00000000	4090.00000000	312.86640900	1506527999999	1270643.38713904	3718	196.14238600	796987.78811000	9285.67129921
1506528000000	4099.80000000	4249.94000000	4075.05000000	4193.00000000	201.13782700	1506556799999	835013.33646123	2815	105.69536400	439168.93107740	9629.05334499
1506556800000	4192.11000000	4300.00000000	4140.01000000	4246.00000000	261.18019700	1506585599999	1099766.41606194	3624	109.12406600	459391.06679831	9827.49254940
1506585600000	4247.00000000	4272.45000000	4101.00000000	4168.00000000	339.66173000	1506614399999	1418774.00346181	4405	144.32405300	603714.20670689	10407.72972694
1506614400000	4133.03000000	4209.68000000	4110.00000000	4174.50000000	248.94339800	1506643199999	1034638.45084979	3397	111.06933300	462362.08430047	10915.25822059
1506643200000	4178.98000000	4215.00000000	3952.01000000	4090.10000000	902.32451700	1506671999999	3657416.19749305	6570	414.07331700	1679424.68247410	10480.73934725
1506672000000	4090.10000000	4251.00000000	4060.02000000	4143.02000000	390.17128800	1506700799999	1623642.87515569	4600	147.38750600	612332.61747999	10814.49176492
1506700800000	4145.03000000	4263.86000000	4101.01000000	4174.69000000	309.81376000	1506729599999	1290687.28635202	3664	98.94741200	414396.51556025	10839.14992836
1506729600000	4175.00000000	4300.00000000	4138.10000000	4300.00000000	293.17320400	1506758399999	1239669.29594920	3422	128.45580100	544933.76555084	10908.58498550
1506758400000	4310.00000000	4358.99000000	4266.11000000	4353.98000000	228.17446400	1506787199999	984935.63198147	3246	81.25803000	351511.23695476	11068.25618910
1506787200000	4349.00000000	4380.00000000	4307.50000000	4378.51000000	199.00551500	1506815999999	863749.47291469	2656	83.25286200	362095.22002434	11158.76978487
1506816000000	4378.49000000	4378.49000000	4265.02000000	4335.82000000	219.20795500	1506844799999	946204.80618613	3286	92.13606600	398475.73751807	11496.36520563
1506844800000	4335.82000000	4359.60000000	4240.04000000	4299.99000000	285.78011800	1506873599999	1229859.07590553	3764	88.37063700	380813.79985359	11873.29195634
1506873600000	4290.17000000	4406.52000000	4270.01000000	4378.48000000	221.97561200	1506902399999	961080.00975291	2766	111.46920100	484176.32929852	12307.06710083
1506902400000	4400.00000000	4560.00000000	4380.01000000	4424.01000000	227.97536300	1506931199999	1011587.01430290	2860	113.98755200	506762.98220690	12351.54043253
1506931200000	4434.22000000	4561.63000000	4390.00000000	4409.09000000	288.59212600	1506959999999	1280977.48718081	3152	129.34554700	576278.12159681	12408.31700632
1506960000000	4409.09000000	4433.11000000	4360.00000000	4380.00000000	139.18948500	1506988799999	612718.27422474	2173	46.20830700	203745.78671254	12741.57240735
1506988800000	4380.00000000	4467.33000000	4213.21000000	4271.00000000	409.92921300	1507017599999	1766317.15817044	4729	208.05055200	896044.05350314	12232.73134031
1507017600000	4280.00000000	4310.00000000	4180.80000000	4258.57000000	427.82739900	1507046399999	1815401.63776705	4227	213.42634900	906256.74093059	12235.22883624
1507046400000	4258.58000000	4329.86000000	4222.02000000	4310.00000000	244.56695100	1507075199999	1045703.94690130	3423	71.25828000	305161.31596538	12115.87839548
1507075200000	4314.90000000	4373.00000000	4274.00000000	4310.01000000	242.32641900	1507103999999	1047344.65263142	3341	59.59830400	257771.35233140	11998.43767183
1507104000000	4310.01000000	4328.00000000	4142.00000000	4211.01000000	394.96319300	1507132799999	1662226.49345889	4152	133.80006900	563609.40937401	11688.01734592
1507132800000	4211.01000000	4236.63000000	4153.02000000	4208.59000000	231.17548900	1507161599999	966843.95445860	3513	99.53040400	416171.60760055	11935.85608959
1507161600000	4208.59000000	4235.00000000	4110.00000000	4154.10000000	295.65719300	1507190399999	1230433.31761762	3466	136.11317900	566292.99059378	11937.59703103
1507190400000	4154.10000000	4335.00000000	4112.23000000	4314.49000000	318.11585700	1507219199999	1350636.26175302	3355	161.18200500	684014.14193838	12003.57651931
1507219200000	4288.00000000	4355.00000000	4275.00000000	4292.43000000	165.36558800	1507247999999	714463.24460715	2337	53.74683500	232729.70107390	11978.70488858
1507248000000	4318.99000000	4410.00000000	4292.00000000	4392.36000000	187.49796300	1507276799999	815553.46728913	2246	110.09833100	479922.17437332	11910.97026269
